empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
itau,2017-10-31,2017-10-31,29.033333,29.033333,27.879999,28.033333,25162350.0,0.03505031728910483,-0.04216637233315219,58.0,0.3052631578947368,30.0,0.1578947368421052,102.0,0.5368421052631579,0.1473684210526315
itau,2013-05-02,2013-05-02,15.263074,15.536279,15.058169,15.135578,20976087.0,0.008388315876079034,0.0011876687306428874,127.0,0.315136476426799,58.0,0.1439205955334987,218.0,0.5409429280397022,0.1712158808933002
itau,2012-10-24,2012-10-24,12.968148,13.528219,12.968148,13.469025,33777226.0,-0.03789640765253966,0.054104271820818846,83.0,0.3051470588235294,50.0,0.1838235294117647,139.0,0.5110294117647058,0.1213235294117647
itau,2018-07-31,2018-07-31,30.526667,30.713333,29.933332,30.0,35539350.0,0.017403247818099012,-0.030698486646173043,108.0,0.3385579937304075,28.0,0.0877742946708464,183.0,0.5736677115987461,0.2507836990595611
itau,2014-08-06,2014-08-06,19.779613,20.055096,19.564737,19.724518,16305778.0,0.002789330347329655,-0.013159919155504374,109.0,0.3879003558718861,18.0,0.0640569395017793,154.0,0.5480427046263345,0.3238434163701068
itau,2019-05-03,2019-05-03,34.200001,34.279999,33.639999,33.709999,31030200.0,0.01443117372714409,-0.031938245668133185,29.0,0.3866666666666666,10.0,0.1333333333333333,36.0,0.48,0.2533333333333333
itau,2015-08-05,2015-08-05,17.878786,18.042423,17.581818,17.666666,20277015.0,0.01193528320037141,-0.0054944234272249915,92.0,0.3205574912891986,42.0,0.1463414634146341,153.0,0.5331010452961672,0.1742160278745644
itau,2018-02-06,2018-02-06,33.32,34.84,33.306667,34.553333,88727100.0,-0.0363461971478862,0.011328780550155465,51.0,0.2562814070351759,33.0,0.1658291457286432,115.0,0.5778894472361809,0.0904522613065326
itau,2013-10-30,2013-10-30,17.24017,17.380415,17.195091,17.27523,17560016.0,-0.002031557626936454,-0.0008671602932709225,182.0,0.3575638506876228,45.0,0.0884086444007858,282.0,0.5540275049115914,0.2691552062868369
itau,2021-05-04,2021-05-04,28.1,28.35,26.65,26.709999,79002100.0,0.05073158665699277,-0.015532225123487156,159.0,0.3129921259842519,51.0,0.1003937007874015,298.0,0.5866141732283464,0.2125984251968504
