Date,Open,High,Low,Close,Adj Close,Volume
2017-08-15,6.837043,6.902995,6.809563,6.859027,5.056169,14671356
2017-08-16,6.892003,6.952459,6.809563,6.919483,5.100735,13610042
2017-08-17,6.853531,6.881011,6.765595,6.771091,4.991348,13102038
2017-08-18,6.853531,6.979940,6.831547,6.963451,5.133149,15113495
2017-08-21,6.979940,6.990932,6.815059,6.831547,5.035915,11731226
2017-08-22,6.952459,7.067876,6.941467,6.996428,5.157456,14559275
2017-08-23,7.012916,7.155812,7.012916,7.122836,5.250640,23738471
2017-08-24,7.155812,7.227260,7.133828,7.188788,5.299254,17121859
2017-08-25,7.188788,7.194284,7.117340,7.155812,5.274948,13992501
2017-08-28,7.139324,7.155812,7.051388,7.073372,5.214175,10643711
2017-08-29,6.979940,7.122836,6.957955,7.106348,5.238483,22800518
2017-08-30,7.078868,7.089860,7.029404,7.067876,5.210125,12864411
2017-08-31,7.122836,7.133828,7.001924,7.018412,5.173663,18675530
2017-09-01,7.144820,7.265732,7.111844,7.183292,5.297282,17542527
2017-09-05,7.298708,7.320692,7.100852,7.199780,5.309438,28659308
2017-09-06,7.304204,7.491069,7.276724,7.458093,5.499929,29740819
2017-09-07,7.425117,7.485573,7.364661,7.436109,5.483716,23721549
2017-09-08,7.474581,7.485573,7.403133,7.430613,5.479666,29892566
2017-09-11,7.529541,7.650453,7.524045,7.540533,5.560724,16276701
2017-09-12,7.485573,7.573509,7.441605,7.480077,5.516140,16802901
2017-09-13,7.452597,7.557021,7.425117,7.507557,5.536405,21589095
2017-09-14,7.485573,7.568013,7.452597,7.551525,5.568832,16997405
2017-09-15,7.518549,7.699918,7.502061,7.677933,5.662049,17827461
2017-09-18,7.677933,7.760374,7.633965,7.683430,5.666103,16242858
2017-09-19,7.672437,7.672437,7.557021,7.633965,5.629623,20331275
2017-09-20,7.661445,7.683430,7.496565,7.600989,5.605309,16071825
2017-09-21,7.617477,7.699918,7.529541,7.573509,5.585042,18880588
2017-09-22,7.568013,7.688926,7.540533,7.628469,5.625571,10344403
2017-09-25,7.589997,7.600989,7.447101,7.463589,5.503982,16254503
2017-09-26,7.496565,7.573509,7.469085,7.474581,5.512087,16018332
2017-09-27,7.458093,7.485573,7.359165,7.430613,5.479666,26232095
2017-09-28,7.408629,7.458093,7.364661,7.419621,5.471557,18493216
2017-09-29,7.524045,7.562517,7.480077,7.529541,5.552617,12053460
2017-10-02,7.485573,7.584501,7.458093,7.568013,5.583027,9992148
2017-10-03,7.573509,7.809838,7.535037,7.809838,5.761426,14819828
2017-10-04,7.853806,7.886782,7.782358,7.804342,5.757370,11660630
2017-10-05,7.908766,8.018686,7.864798,7.881286,5.814130,18452277
2017-10-06,7.787854,7.787854,7.694422,7.771366,5.733039,11640979
